Specific_Name,Matched_Generic_Name,Generic_UUID,Score,Normalized_Score
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.3176037073135376,0.0887274029625576
"DFF: Holzrahmen Fichte, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4823904037475586,0.44631335226852
"DFF: Holzrahmen Fichte, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4823904037475586,0.44631335226852
"DFF: Holzrahmen Fichte, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4823904037475586,0.44631335226852
"DFF: Holzrahmen Lärche, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.48333069682121277,0.44835378149396465
"DFF: Holzrahmen Lärche, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.48333069682121277,0.44835378149396465
"DFF: Holzrahmen Lärche, beschichtet [kg/m² Rahmen]",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.48333069682121277,0.44835378149396465
OSB Platte,Chipboard (generic),07a8b3de-9406-4184-bb6e-c9208983c868,0.41666197776794434,0.3036831393391793
OSB Platte,Chipboard (generic),07a8b3de-9406-4184-bb6e-c9208983c868,0.41666197776794434,0.3036831393391793
OSB Platte,Chipboard (generic),07a8b3de-9406-4184-bb6e-c9208983c868,0.41666197776794434,0.3036831393391793
Mineralwolle (Boden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4380834102630615,0.35016749420533233
Mineralwolle (Boden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4380834102630615,0.35016749420533233
Mineralwolle (Boden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4380834102630615,0.35016749420533233
Mineralwolle (Fassaden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4923444986343384,0.46791366677568014
Mineralwolle (Fassaden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4923444986343384,0.46791366677568014
Mineralwolle (Fassaden-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4923444986343384,0.46791366677568014
Mineralwolle (Flachdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4145781397819519,0.2991612258561981
Mineralwolle (Flachdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4145781397819519,0.2991612258561981
Mineralwolle (Flachdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4145781397819519,0.2991612258561981
Mineralwolle (Innenausbau-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4148707687854767,0.299796228694924
Mineralwolle (Innenausbau-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4148707687854767,0.299796228694924
Mineralwolle (Innenausbau-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4148707687854767,0.299796228694924
Mineralwolle (Schrägdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4540608823299408,0.3848384939897845
Mineralwolle (Schrägdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4540608823299408,0.3848384939897845
Mineralwolle (Schrägdach-Dämmung),Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.4540608823299408,0.3848384939897845
EPS-Hartschaumdämmung - Sz. Creasolv,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.3447408974170685,0.14761491084188932
