Specific_Name,Matched_Generic_Name,Generic_UUID,Score
PVC-Dachbahnen,Sewer pipe PVC,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,0.39791274070739746
PVC-Dachbahnen,Sewer pipe PVC,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,0.39791274070739746
PVC-Dachbahnen,Sewer pipe PVC,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,0.39791274070739746
Schafwolle (mit Flammschutzmittel),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.3384316861629486
Schafwolle (mit Flammschutzmittel),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.3384316861629486
Schafwolle (mit Flammschutzmittel),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.3384316861629486
Schafwolle (ohne Zusatzstoffe),eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.49926719069480896
Schafwolle (ohne Zusatzstoffe),eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.49926719069480896
Schafwolle (ohne Zusatzstoffe),eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.49926719069480896
Schaumglasgranulat Schüttung,Tetrafluoroethane (R134a),b47d86ac-60fa-46f7-ac5c-f98be4b7acdd,0.40122461318969727
Schaumglasgranulat Schüttung,Tetrafluoroethane (R134a),b47d86ac-60fa-46f7-ac5c-f98be4b7acdd,0.40122461318969727
Schaumglasgranulat Schüttung,Tetrafluoroethane (R134a),b47d86ac-60fa-46f7-ac5c-f98be4b7acdd,0.40122461318969727
Schilfrohrdämmmatte,Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.469361275434494
Schilfrohrdämmmatte,Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.469361275434494
Schilfrohrdämmmatte,Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.469361275434494
Schilfrohrmatte (Putzträger),Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.3766213655471802
Schilfrohrmatte (Putzträger),Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.3766213655471802
Schilfrohrmatte (Putzträger),Calcium sulfate screed,8e1613f4-ef3e-4f4e-b337-c755c08cad6b,0.3766213655471802
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)","Joint sealing strips, polyisobutylene",98e0caab-5f0b-452f-a3d2-4e0256a799f3,0.43962326645851135
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)","Joint sealing strips, polyisobutylene",98e0caab-5f0b-452f-a3d2-4e0256a799f3,0.43962326645851135
