unmapped_generic_UUID,unmapped_generic_name,tbs_product_UUID,tbs_product_name,Name_Similarity,unmapped_generic_category,tbs_category_name,Category_Similarity,tbs_EOL_Scenario_Unbuilt_Real,tbs_EOL_Scenario_Unbuilt_Potential,tbs_EOL_Scenario_Technology_Factor,Final_Score
df0047fc-9bd3-4aab-baa1-25b383c6706f,"Nutzung - Öl Brennwert (< 20 kW, entspr. EnEV)",,"Innentür Massivholz, lackiert, Fl.gewicht 12 kg/m²",0.494,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"Innentür - Holz massiv, beschichtet",0.253,RC+,CL-,1.0,0.397
df0047fc-9bd3-4aab-baa1-25b383c6706f,"Nutzung - Öl Brennwert (< 20 kW, entspr. EnEV)",43c3fd78-c67e-438b-b726-dd512df5d881,Kleber für Gipsplatten,0.433,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"mineral. Putz, Mörtel, Kleber",0.335,Dep+,Dep+,0.0,0.394
df0047fc-9bd3-4aab-baa1-25b383c6706f,"Nutzung - Öl Brennwert (< 20 kW, entspr. EnEV)",,"Innentür Massivholz, unbehandelt oder geölt, Fl.gew. 12 kg/m²",0.441,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"Innentür - Holz massiv, unbeschichtet",0.306,RC+,CL+,0.75,0.387
dd5333e6-ee1b-470c-be48-017a8753a80a,Rasterleuchte 2x T8-36W (LFL),1da7a0ab-1204-4ee6-b8fe-77a28f642f0d,Brandschutzglas F30,0.357,'Gebäudetechnik' / 'Elektro' / 'Beleuchtung',Brandschutzverglasung,0.342,RC-,RC+,0.5,0.351
dd5333e6-ee1b-470c-be48-017a8753a80a,Rasterleuchte 2x T8-36W (LFL),531ab34f-6750-41a8-aedc-35cf4df3c8b1,Stahl warmgewalzte Bleche (2-20mm),0.425,'Gebäudetechnik' / 'Elektro' / 'Beleuchtung',Stahl - Stahlblech,0.211,CL+,CL+,1.0,0.34
dd5333e6-ee1b-470c-be48-017a8753a80a,Rasterleuchte 2x T8-36W (LFL),93edef71-49e3-4e1f-ba6d-1e449e7d328d,Stahl Feinblech (20µm bandverzinkt),0.365,'Gebäudetechnik' / 'Elektro' / 'Beleuchtung',Stahl - Stahl(blech) verzinkt,0.293,CL-,CL-,1.0,0.336
dcd5e23a-9bec-40b6-b07c-1642fe696a2e,Übergabestation Fernwärme,6eaddefb-7a0f-43e4-a0cb-8459c26e0947,Dreifachverglasung,0.327,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Wärmeschutzverglasung,0.576,RC-,RC+,0.5,0.427
dcd5e23a-9bec-40b6-b07c-1642fe696a2e,Übergabestation Fernwärme,5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,Vegetationssubstrat,0.532,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Substrat,0.244,CL+,CL+,1.0,0.417
dcd5e23a-9bec-40b6-b07c-1642fe696a2e,Übergabestation Fernwärme,d941f45e-1244-419c-a083-e4a49fb5498e,Isolierglas 2-Scheiben,0.219,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Wärmeschutzverglasung,0.576,RC-,RC+,0.5,0.362
d9ff9452-7685-48d1-8c66-b35059b262fe,Nutzung - Strom-Wärmepumpe Wasser-Wasser (10/35),6eaddefb-7a0f-43e4-a0cb-8459c26e0947,Dreifachverglasung,0.202,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger',Wärmeschutzverglasung,0.527,RC-,RC+,0.5,0.332
d9ff9452-7685-48d1-8c66-b35059b262fe,Nutzung - Strom-Wärmepumpe Wasser-Wasser (10/35),d941f45e-1244-419c-a083-e4a49fb5498e,Isolierglas 2-Scheiben,0.199,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger',Wärmeschutzverglasung,0.527,RC-,RC+,0.5,0.33
d9ff9452-7685-48d1-8c66-b35059b262fe,Nutzung - Strom-Wärmepumpe Wasser-Wasser (10/35),89ffc2cd-fb84-41df-9ebe-cda946ebf2bd,Strohdämmung,0.38,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger',Strohballen,0.252,SV,SV,0.0,0.329
d9f045e5-ae07-4ae6-9fde-5346560411d8,End of Life von Stahlprofilen,38051c22-fbd1-4b0e-944a-ae348b8c7695,Stahlprofil,0.683,'End of Life' / 'Generisch' / 'Metalle',"Stahl - Baustahl (zB Stahlträger,..)",0.032,CL+,CL+,1.0,0.423
d9f045e5-ae07-4ae6-9fde-5346560411d8,End of Life von Stahlprofilen,ae5396d9-2952-4eae-b216-17d56758ece0,Stahlprofil verzinkt,0.634,'End of Life' / 'Generisch' / 'Metalle',Stahl - Stahl(blech) verzinkt,0.069,CL-,CL-,1.0,0.408
d9f045e5-ae07-4ae6-9fde-5346560411d8,End of Life von Stahlprofilen,1121bd10-6918-441c-b18b-8264a277c919,Pfosten/Riegelsystem aus Stahl,0.518,'End of Life' / 'Generisch' / 'Metalle',Alu-Pfosten-Riegel-Konstr. ungedämmt,0.165,RC+,RC+,1.0,0.377
d9baa9f5-b9d2-4f8f-928d-2f4116b36662,Regenabflussrohr PVC,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,PVC Plastisol,0.59,'Kunststoffe' / 'Rohre' / 'Regen-/Grauwasserrohre',"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..",0.231,EB,EB,0.0,0.447
