oekobaudatProcessUuid,oekobaudatDatastockUuid,oekobaudatDatastockName,productId,tBaustoffVersion,productName,eolCategoryId,eolCategoryName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor
,,,183,2024-Q4,Lehmbauplatte mit CL-Nachweis,91,Lehmbauplatte mit CL-Nachweis,CL+,CL+,1.0
,,,188,2024-Q4,"Lehmputz, kunststofffaserarmiert",95,"Lehmputz, kunststofffaserarmiert",Dep+,CL+,0.75
,,,192,2024-Q4,Lehmstein mit CL-Nachweis,98,Lehm - Störstoffkl. S4 (Neueinstuf.),Dep+,Dep+,0.75
,,,297,2024-Q4,Stampflehmwand mit CL-Nachweis,98,Lehm - Störstoffkl. S4 (Neueinstuf.),Dep+,Dep+,0.75
,,,193,2024-Q4,"Spanplatte, melaminbeschichtet",99,Melaminbeschichtet,EV-,EV-,0.0
,,,200,2024-Q4,Lose Hobelspandämmung,102,Hobelspäne unbehandelt,EV-,CL+,0.75
,,,203,2024-Q4,Marmorplatte ,104,Steinboden (unproblem. imprägniert / beschichtet),RC+,RC+,1.0
,,,205,2024-Q4,Mehrschichtparkett  (unproblem. beschichtet),105,Parkett,RC-,RC-,1.0
,,,207,2024-Q4,Messing-Bauteil,106,Messing,CL+,CL+,1.0
,,,208,2024-Q4,"Mineralfaser Deckenplatten (Dicke 0,015 m)",107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,298,2024-Q4,Mineralwolle (Boden-Dämmung),107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,299,2024-Q4,Mineralwolle (Fassaden-Dämmung),107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,300,2024-Q4,Mineralwolle (Flachdach-Dämmung),107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,301,2024-Q4,Mineralwolle (Innenausbau-Dämmung),107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,302,2024-Q4,Mineralwolle (Schrägdach-Dämmung),107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,303,2024-Q4,Steinwolle Flachdämmplatte,107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,304,2024-Q4,Steinwolle Heizungsrohrschale,107,Mineralwolle Steinwolle,Dep-,RC-,0.5
,,,215,2024-Q4,"Natursteinplatte, hart, Außenbereich (Dicke 0,08 m)",108,Stein unbehandelt,CL+,CL+,1.0
,,,216,2024-Q4,"Natursteinplatte, hart, Fassade (Dicke 0,030 m)",108,Stein unbehandelt,CL+,CL+,1.0
,,,217,2024-Q4,"Natursteinplatte, hart, Innenboden (Dicke 0,02 m)",108,Stein unbehandelt,CL+,CL+,1.0
,,,218,2024-Q4,"Natursteinplatte, weich, Fassade",108,Stein unbehandelt,CL+,CL+,1.0
,,,219,2024-Q4,"Natursteinplatte, weich, Innenboden (Dicke 0,020 m)",108,Stein unbehandelt,CL+,CL+,1.0
,,,264,2024-Q4,"Schiefer, unhandelt",108,Stein unbehandelt,CL+,CL+,1.0
,,,236,2024-Q4,Polyethylen-Schaum,109,KSTDämm (PE),EV-,EV-,0.0
,,,230,2024-Q4,Pfosten/Riegel aus Aluminium,110,Alu-Pfosten-Riegel-Konstr. ungedämmt,RC+,RC+,1.0
,,,231,2024-Q4,Pfosten/Riegelsystem aus Stahl,110,Alu-Pfosten-Riegel-Konstr. ungedämmt,RC+,RC+,1.0
,,,234,2024-Q4,PIR Hartschaum (250 kg/m³),111,"KSTDämm (PUR, PIR)",EB,SV,0.25
,,,244,2024-Q4,PUR/PIR Dämmstoff (32 kg/m³),111,"KSTDämm (PUR, PIR)",EB,SV,0.25
,,,235,2024-Q4,Polycarbonatplatte,112,KSTPlatte (zB transparente Platten),EV-,EV-,0.0
,,,311,2024-Q4,Transparente Platten PC,112,KSTPlatte (zB transparente Platten),EV-,EV-,0.0
,,,312,2024-Q4,"Transparente Platten PMMA, extrudiert",112,KSTPlatte (zB transparente Platten),EV-,EV-,0.0
,,,313,2024-Q4,"Transparente Platten PMMA, gegossen",112,KSTPlatte (zB transparente Platten),EV-,EV-,0.0
,,,238,2024-Q4,Porenbeton Granulat,113,Porenbeton-Granulat,Dep+,RC+,0.75
,,,240,2024-Q4,"Porenbeton P2 04 unbewehrt, Rho 380 kg/m³",114,Porenbeton - unbewehrt,Dep+,RC-,0.75
,,,242,2024-Q4,"Porenbeton P4 05 unbewehrt, Rho 472 kg/m³",114,Porenbeton - unbewehrt,Dep+,RC-,0.75
,,,241,2024-Q4,Porenbeton P4 05 bewehrt,115,Porenbeton - bewehrt,Dep+,RC-,0.75
,,,246,2024-Q4,PVC Fußbodenbelag,116,PVC-Belag,EB,SV,0.75
,,,249,2024-Q4,PVC-Dachbahnen - nicht rückbaubar (Neueinstuf.),118,PVC-Folie - verklebt oder nicht rückbaubar,EB,EB,0.0
,,,263,2024-Q4,Schaumglasplatten,122,Schaumglas,Dep+,SV,0.75
,,,277,2024-Q4,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),124,Schüttung organ./min. gebunden,Dep-,Dep-,0.0
,,,289,2024-Q4,Stabparkett,126,Holzwerkstoffboden,RC-,RC-,1.0
,,,290,2024-Q4,"Stahl Feinblech (0,3-3,0mm), unverzinkt",127,Stahl - Stahlblech,CL+,CL+,1.0
,,,293,2024-Q4,Stahl warmgewalzte Bleche (2-20mm),127,Stahl - Stahlblech,CL+,CL+,1.0
,,,305,2024-Q4,Steinzeugfliesen glasiert,128,Keramik - Boden,RC-,RC-,1.0
,,,306,2024-Q4,Steinzeugfliesen unglasiert,128,Keramik - Boden,RC-,RC-,1.0
,,,307,2024-Q4,Strohdämmung,129,Strohballen,SV,SV,0.0
,,,309,2024-Q4,Thermisch behandeltes Holz,130,Holz - therm. Behandelt,EV+,EV+,0.0
,,,324,2024-Q4,"Vakuum-Isolations-Paneel (VIP), unkaschiert",131,VIP,Dep+,Dep+,1.0
,,,325,2024-Q4,Vegetationssubstrat,132,Substrat,CL+,CL+,1.0
,,,328,2024-Q4,Vormauerziegel (ohne Mörtel),133,"Ziegel - Vormauer, Vollziegel",RC+,RC+,1.0
,,,339,2024-Q4,Wood-Plastic-Composites (halogenfrei),135,WPC - Nachweis halogenfrei,EV-,EV-,0.0
,,,340,2024-Q4,Zellulosefaser Einblas-Dämmstoff,136,Zellulosefaserflocken,EV-,RC+,0.75
,,,341,2024-Q4,Zellulosefaserplatten,137,Zellulosefaserplatten,EV-,EV-,0.0
,,,342,2024-Q4,Zementestrich,138,Estrich CT - Zementestrich,Dep+,RC-,0.25
,,,345,2024-Q4,Zinkbleche,139,Zink,CL+,CL+,1.0
