Specific_UUID,Generic_UUID,Specific_Name,Generic_Name,Final_Score
44843ed7-42ef-4ac9-8be1-12bfeeacfa52,447dea90-8a8f-44f5-9451-3e15ce5fab10,Transparent building elements - Rodeca GmbH - Light building element 60mm,Sun protection (metal blinds),0.63
598c31ad-2e1e-424c-954b-d2de5fe113e3,54f797c3-caa8-47ff-8055-6caef0097d2a,sealing systems - Polyschaum - Partition wall/nail sealing tape both sides,EPDM sealing for aluminium section,0.696
598c31ad-2e1e-424c-954b-d2de5fe113e3,6617fe30-11e7-4703-8f37-0fed1ddb593a,sealing systems - Polyschaum - Partition wall/nail sealing tape both sides,"EPDM sealing for aluminium section, thermally separated",0.696
598c31ad-2e1e-424c-954b-d2de5fe113e3,01a66f11-99ef-4fec-b34b-d68a377820ee,sealing systems - Polyschaum - Partition wall/nail sealing tape both sides,EPDM sealing for aluminium section,0.696
c859efb0-d362-451d-81ca-ef90220544b7,6617fe30-11e7-4703-8f37-0fed1ddb593a,sealing systems - Polyschaum - Trennfix,"EPDM sealing for aluminium section, thermally separated",0.712
c859efb0-d362-451d-81ca-ef90220544b7,f0b03a7a-06f1-45c9-9597-e6c60907f3e0,sealing systems - Polyschaum - Trennfix,"EPDM sealing for aluminium section, thermally separated",0.712
c859efb0-d362-451d-81ca-ef90220544b7,54f797c3-caa8-47ff-8055-6caef0097d2a,sealing systems - Polyschaum - Trennfix,EPDM sealing for aluminium section,0.708
dd481714-dcde-4b8e-aa13-7388e35e3f25,6617fe30-11e7-4703-8f37-0fed1ddb593a,sealing systems - Polyschaum - Mixed fiber fleece 600 g/m² on both sides,"EPDM sealing for aluminium section, thermally separated",0.703
dd481714-dcde-4b8e-aa13-7388e35e3f25,f0b03a7a-06f1-45c9-9597-e6c60907f3e0,sealing systems - Polyschaum - Mixed fiber fleece 600 g/m² on both sides,"EPDM sealing for aluminium section, thermally separated",0.703
dd481714-dcde-4b8e-aa13-7388e35e3f25,54f797c3-caa8-47ff-8055-6caef0097d2a,sealing systems - Polyschaum - Mixed fiber fleece 600 g/m² on both sides,EPDM sealing for aluminium section,0.681
f7793b89-55b7-4323-bdc6-5c48e63449e2,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Insulating bar - Technoform Bautec Asia Pacific - Insulating bars made from PA66GF25,"Joint sealing strips, PE/PP foil",0.649
f7793b89-55b7-4323-bdc6-5c48e63449e2,a122b12f-ae8c-4806-b78c-ba5389bbd52f,Insulating bar - Technoform Bautec Asia Pacific - Insulating bars made from PA66GF25,"Joint sealing strips, PE/PP foil",0.649
f7793b89-55b7-4323-bdc6-5c48e63449e2,24f91cc9-f588-4782-b553-8e39f310afc7,Insulating bar - Technoform Bautec Asia Pacific - Insulating bars made from PA66GF25,"Joint sealing strips, polyisobutylene",0.635
bfd3f8dc-206f-4ec1-8b79-8a67848e1ca8,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Insulating profile - Ensinger GmbH - insulbar ESP made of TECATHERM 66 ESP,"Joint sealing strips, PE/PP foil",0.661
bfd3f8dc-206f-4ec1-8b79-8a67848e1ca8,a122b12f-ae8c-4806-b78c-ba5389bbd52f,Insulating profile - Ensinger GmbH - insulbar ESP made of TECATHERM 66 ESP,"Joint sealing strips, PE/PP foil",0.661
bfd3f8dc-206f-4ec1-8b79-8a67848e1ca8,72b45474-39fa-4723-8069-a58eda55f014,Insulating profile - Ensinger GmbH - insulbar ESP made of TECATHERM 66 ESP,"Elastomer joint tape, polyurethane",0.659
e2d8ae66-a0d9-4eb8-8c31-1f47f7accae4,24f91cc9-f588-4782-b553-8e39f310afc7,Insulating profile - Ensinger GmbH - insulbar REG made of TECATHERM 6 GF,"Joint sealing strips, polyisobutylene",0.68
e2d8ae66-a0d9-4eb8-8c31-1f47f7accae4,f5c5632d-8a1e-47a7-b084-fd9fec790e68,Insulating profile - Ensinger GmbH - insulbar REG made of TECATHERM 6 GF,"Joint sealing strips, polyisobutylene",0.68
e2d8ae66-a0d9-4eb8-8c31-1f47f7accae4,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Insulating profile - Ensinger GmbH - insulbar REG made of TECATHERM 6 GF,"Joint sealing strips, PE/PP foil",0.676
e51030da-e528-40ab-8fe0-aa4af139d157,24f91cc9-f588-4782-b553-8e39f310afc7,Insulating profile - Ensinger GmbH - insulbar LI made of TECATHERM 66 GF,"Joint sealing strips, polyisobutylene",0.672
e51030da-e528-40ab-8fe0-aa4af139d157,f5c5632d-8a1e-47a7-b084-fd9fec790e68,Insulating profile - Ensinger GmbH - insulbar LI made of TECATHERM 66 GF,"Joint sealing strips, polyisobutylene",0.672
e51030da-e528-40ab-8fe0-aa4af139d157,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Insulating profile - Ensinger GmbH - insulbar LI made of TECATHERM 66 GF,"Joint sealing strips, PE/PP foil",0.666
c257c652-cf30-47a9-afb1-088f89592bc5,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Insulating profile - Ensinger GmbH - Coex sealing wire,"Joint sealing strips, PE/PP foil",0.729
c257c652-cf30-47a9-afb1-088f89592bc5,a122b12f-ae8c-4806-b78c-ba5389bbd52f,Insulating profile - Ensinger GmbH - Coex sealing wire,"Joint sealing strips, PE/PP foil",0.729
c257c652-cf30-47a9-afb1-088f89592bc5,24f91cc9-f588-4782-b553-8e39f310afc7,Insulating profile - Ensinger GmbH - Coex sealing wire,"Joint sealing strips, polyisobutylene",0.709
78b0d28b-3fe2-463a-825c-9af8e4548e23,530ff9e2-0189-4783-9546-3bb8f64fbbeb,Frame Profiles for Doors - heroal-Johann Henkenjohann GmbH & Co. KG - door (EN 15804+A2),Window frame (spruce),0.694
78b0d28b-3fe2-463a-825c-9af8e4548e23,ffd4bc0e-1d99-4e84-8710-6dcbf34a98a6,Frame Profiles for Doors - heroal-Johann Henkenjohann GmbH & Co. KG - door (EN 15804+A2),Window frame (spruce),0.694
78b0d28b-3fe2-463a-825c-9af8e4548e23,b0c75d7b-4cce-41cf-b785-1db434ee9c3f,Frame Profiles for Doors - heroal-Johann Henkenjohann GmbH & Co. KG - door (EN 15804+A2),Window sash (spruce),0.635
9f5180f4-6f40-4bca-8202-29b1d4665525,530ff9e2-0189-4783-9546-3bb8f64fbbeb,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - windows (EN 15804+A2),Window frame (spruce),0.709
9f5180f4-6f40-4bca-8202-29b1d4665525,ffd4bc0e-1d99-4e84-8710-6dcbf34a98a6,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - windows (EN 15804+A2),Window frame (spruce),0.709
9f5180f4-6f40-4bca-8202-29b1d4665525,d8aa07b1-b3aa-41b0-a17b-f8f5e15f37f3,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - windows (EN 15804+A2),Window frame PVC-U,0.699
22185222-4f46-4180-b940-46f23408057e,530ff9e2-0189-4783-9546-3bb8f64fbbeb,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - lifting-sliding elements (EN 15804+A2),Window frame (spruce),0.685
22185222-4f46-4180-b940-46f23408057e,ffd4bc0e-1d99-4e84-8710-6dcbf34a98a6,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - lifting-sliding elements (EN 15804+A2),Window frame (spruce),0.685
22185222-4f46-4180-b940-46f23408057e,d0e0f205-2f4d-4c7f-b63a-23a9abd6e60a,Frame Profiles for Windows - heroal-Johann Henkenjohann GmbH & Co. KG - lifting-sliding elements (EN 15804+A2),"Aluminium frame profile, powder coated",0.668
